series_id,mean_close,std_close
1,0.10058284,0.029521914
2,0.53340507,0.1482939
3,15.354797,5.5105953
4,9173.823,1569.8362
5,0.7462529,0.29202428
6,5.2170796,1.5825926
7,16.192724,7.6436005
8,0.34851268,0.05578364
9,0.08167642,0.021421058
10,0.79085994,0.21010236
11,0.052794352,0.017299255
12,0.19772574,0.14384042
13,0.7922206,0.21821858
14,0.12729575,0.01453078
15,2.6071997,1.6006913
16,0.007929289,0.005525034
17,2.2582483,0.7105435
18,0.07126029,0.0077606244
19,1.9882764,1.1824412
20,0.0015930465,0.00037373186
21,0.052439414,0.009812092
22,0.57956076,0.13309726
23,81.16054,29.216223
24,2.0533566,0.6616387
25,1.6942372,0.44367617
26,1.9363506,0.38171273
27,0.0749087,0.03177996
28,7.86017,4.262455
29,0.483857,0.09789706
30,0.023587542,0.0052439547
31,8.523156,4.711914
32,26320.408,3340.964
33,290.72925,127.84766
34,0.43411377,0.09551166
35,0.012073185,0.007196237
36,2.5812364,0.66409594
37,0.37358823,0.115054555
38,0.17035437,0.12665506
39,0.4380501,0.15143545
40,0.070465416,0.019083804
41,0.10914616,0.0147634605
42,31.903854,11.188046
43,1.3806599,0.30439475
44,0.0730762,0.035843655
45,4.189503,2.0050595
46,0.37063223,0.20964697
47,0.074140914,0.0091358675
48,0.1032886,0.037738584
49,0.2223735,0.040864713
50,0.4760895,0.11134067
